,Unnamed: 0,Group,Timestamp,Count,Date,Time
3570,3570,47,6/8/2014 9:23,109,6/8/2014,9:23:00
3600,3600,47,6/8/2014 9:53,88,6/8/2014,9:53:00
2760,2760,47,6/8/2014 10:24,45,6/8/2014,10:24:00
2790,2790,47,6/8/2014 10:54,75,6/8/2014,10:54:00
2820,2820,47,6/8/2014 11:24,44,6/8/2014,11:24:00
2850,2850,47,6/8/2014 11:54,62,6/8/2014,11:54:00
2880,2880,47,6/8/2014 12:24,123,6/8/2014,12:24:00
2910,2910,47,6/8/2014 12:54,21,6/8/2014,12:54:00
2940,2940,47,6/8/2014 13:24,76,6/8/2014,13:24:00
2970,2970,47,6/8/2014 13:54,42,6/8/2014,13:54:00
3000,3000,47,6/8/2014 14:24,72,6/8/2014,14:24:00
3030,3030,47,6/8/2014 14:54,68,6/8/2014,14:54:00
3060,3060,47,6/8/2014 15:24,50,6/8/2014,15:24:00
3090,3090,47,6/8/2014 15:54,97,6/8/2014,15:54:00
3120,3120,47,6/8/2014 16:24,106,6/8/2014,16:24:00
3150,3150,47,6/8/2014 16:54,66,6/8/2014,16:54:00
3180,3180,47,6/8/2014 17:24,92,6/8/2014,17:24:00
3210,3210,47,6/8/2014 17:54,105,6/8/2014,17:54:00
3240,3240,47,6/8/2014 18:24,90,6/8/2014,18:24:00
3270,3270,47,6/8/2014 18:54,57,6/8/2014,18:54:00
3300,3300,47,6/8/2014 19:24,31,6/8/2014,19:24:00
3330,3330,47,6/8/2014 19:54,55,6/8/2014,19:54:00
3360,3360,47,6/8/2014 20:24,53,6/8/2014,20:24:00
3390,3390,47,6/8/2014 20:54,24,6/8/2014,20:54:00
3420,3420,47,6/8/2014 21:24,46,6/8/2014,21:24:00
3450,3450,47,6/8/2014 21:54,63,6/8/2014,21:54:00
3480,3480,47,6/8/2014 22:24,140,6/8/2014,22:24:00
3870,3870,55,6/8/2014 8:49,4,6/8/2014,8:49:00
3630,3630,55,6/8/2014 11:48,9,6/8/2014,11:48:00
3660,3660,55,6/8/2014 12:44,2,6/8/2014,12:44:00
3690,3690,55,6/8/2014 14:28,2,6/8/2014,14:28:00
3720,3720,55,6/8/2014 15:31,17,6/8/2014,15:31:00
3750,3750,55,6/8/2014 16:27,6,6/8/2014,16:27:00
3780,3780,55,6/8/2014 17:43,9,6/8/2014,17:43:00
3810,3810,55,6/8/2014 18:55,9,6/8/2014,18:55:00
3840,3840,55,6/8/2014 19:51,8,6/8/2014,19:51:00
4290,4290,72,6/8/2014 8:07,7,6/8/2014,8:07:00
4320,4320,72,6/8/2014 9:19,17,6/8/2014,9:19:00
4350,4350,72,6/8/2014 9:58,7,6/8/2014,9:58:00
3900,3900,72,6/8/2014 10:00,7,6/8/2014,10:00:00
3930,3930,72,6/8/2014 11:16,16,6/8/2014,11:16:00
3960,3960,72,6/8/2014 12:10,10,6/8/2014,12:10:00
3990,3990,72,6/8/2014 12:43,14,6/8/2014,12:43:00
4020,4020,72,6/8/2014 13:18,5,6/8/2014,13:18:00
4050,4050,72,6/8/2014 14:11,25,6/8/2014,14:11:00
4080,4080,72,6/8/2014 14:46,15,6/8/2014,14:46:00
4110,4110,72,6/8/2014 15:52,25,6/8/2014,15:52:00
4140,4140,72,6/8/2014 16:22,16,6/8/2014,16:22:00
4170,4170,72,6/8/2014 17:07,16,6/8/2014,17:07:00
4200,4200,72,6/8/2014 17:44,10,6/8/2014,17:44:00
4230,4230,72,6/8/2014 18:54,18,6/8/2014,18:54:00
4260,4260,72,6/8/2014 20:06,8,6/8/2014,20:06:00
4980,4980,73,6/8/2014 8:06,14,6/8/2014,8:06:00
5010,5010,73,6/8/2014 8:36,80,6/8/2014,8:36:00
5040,5040,73,6/8/2014 9:06,142,6/8/2014,9:06:00
5070,5070,73,6/8/2014 9:36,139,6/8/2014,9:36:00
4380,4380,73,6/8/2014 10:28,74,6/8/2014,10:28:00
4410,4410,73,6/8/2014 10:58,97,6/8/2014,10:58:00
4440,4440,73,6/8/2014 11:28,126,6/8/2014,11:28:00
4470,4470,73,6/8/2014 11:58,181,6/8/2014,11:58:00
4500,4500,73,6/8/2014 12:28,113,6/8/2014,12:28:00
4530,4530,73,6/8/2014 12:58,77,6/8/2014,12:58:00
4560,4560,73,6/8/2014 13:28,80,6/8/2014,13:28:00
4590,4590,73,6/8/2014 13:58,215,6/8/2014,13:58:00
4620,4620,73,6/8/2014 14:28,120,6/8/2014,14:28:00
4650,4650,73,6/8/2014 14:58,119,6/8/2014,14:58:00
4680,4680,73,6/8/2014 15:28,143,6/8/2014,15:28:00
4710,4710,73,6/8/2014 15:58,89,6/8/2014,15:58:00
4740,4740,73,6/8/2014 16:28,153,6/8/2014,16:28:00
4770,4770,73,6/8/2014 16:58,87,6/8/2014,16:58:00
4800,4800,73,6/8/2014 17:28,67,6/8/2014,17:28:00
4830,4830,73,6/8/2014 17:58,47,6/8/2014,17:58:00
4860,4860,73,6/8/2014 18:28,149,6/8/2014,18:28:00
4890,4890,73,6/8/2014 18:58,126,6/8/2014,18:58:00
4920,4920,73,6/8/2014 19:28,132,6/8/2014,19:28:00
4950,4950,73,6/8/2014 19:58,135,6/8/2014,19:58:00
5820,5820,79,6/8/2014 8:28,196,6/8/2014,8:28:00
5850,5850,79,6/8/2014 8:58,339,6/8/2014,8:58:00
5880,5880,79,6/8/2014 9:28,139,6/8/2014,9:28:00
5910,5910,79,6/8/2014 9:58,159,6/8/2014,9:58:00
5100,5100,79,6/8/2014 10:06,204,6/8/2014,10:06:00
5130,5130,79,6/8/2014 10:36,122,6/8/2014,10:36:00
5160,5160,79,6/8/2014 11:06,258,6/8/2014,11:06:00
5190,5190,79,6/8/2014 11:36,279,6/8/2014,11:36:00
5220,5220,79,6/8/2014 12:06,396,6/8/2014,12:06:00
5250,5250,79,6/8/2014 12:36,230,6/8/2014,12:36:00
5280,5280,79,6/8/2014 13:06,303,6/8/2014,13:06:00
5310,5310,79,6/8/2014 13:36,471,6/8/2014,13:36:00
5340,5340,79,6/8/2014 14:06,296,6/8/2014,14:06:00
5370,5370,79,6/8/2014 14:36,173,6/8/2014,14:36:00
5400,5400,79,6/8/2014 15:06,106,6/8/2014,15:06:00
5430,5430,79,6/8/2014 15:36,213,6/8/2014,15:36:00
5460,5460,79,6/8/2014 16:06,298,6/8/2014,16:06:00
5490,5490,79,6/8/2014 16:36,168,6/8/2014,16:36:00
5520,5520,79,6/8/2014 17:06,163,6/8/2014,17:06:00
5550,5550,79,6/8/2014 17:36,238,6/8/2014,17:36:00
5580,5580,79,6/8/2014 18:06,45,6/8/2014,18:06:00
5610,5610,79,6/8/2014 18:36,219,6/8/2014,18:36:00
5640,5640,79,6/8/2014 19:06,177,6/8/2014,19:06:00
5670,5670,79,6/8/2014 19:36,166,6/8/2014,19:36:00
5700,5700,79,6/8/2014 20:06,171,6/8/2014,20:06:00
5730,5730,79,6/8/2014 20:36,158,6/8/2014,20:36:00
5760,5760,79,6/8/2014 21:06,263,6/8/2014,21:06:00
5790,5790,79,6/8/2014 21:39,20,6/8/2014,21:39:00
6000,6000,82,6/8/2014 8:04,20,6/8/2014,8:04:00
5940,5940,82,6/8/2014 13:52,20,6/8/2014,13:52:00
5970,5970,82,6/8/2014 19:53,14,6/8/2014,19:53:00
6810,6810,106,6/8/2014 8:15,15,6/8/2014,8:15:00
6840,6840,106,6/8/2014 8:45,33,6/8/2014,8:45:00
6870,6870,106,6/8/2014 9:15,117,6/8/2014,9:15:00
6900,6900,106,6/8/2014 9:45,143,6/8/2014,9:45:00
6030,6030,106,6/8/2014 10:03,194,6/8/2014,10:03:00
6060,6060,106,6/8/2014 10:33,91,6/8/2014,10:33:00
6090,6090,106,6/8/2014 11:03,124,6/8/2014,11:03:00
6120,6120,106,6/8/2014 11:33,126,6/8/2014,11:33:00
6150,6150,106,6/8/2014 12:03,140,6/8/2014,12:03:00
6180,6180,106,6/8/2014 12:33,81,6/8/2014,12:33:00
6210,6210,106,6/8/2014 13:03,121,6/8/2014,13:03:00
6240,6240,106,6/8/2014 13:33,109,6/8/2014,13:33:00
6270,6270,106,6/8/2014 14:03,157,6/8/2014,14:03:00
6300,6300,106,6/8/2014 14:33,56,6/8/2014,14:33:00
6330,6330,106,6/8/2014 15:03,66,6/8/2014,15:03:00
6360,6360,106,6/8/2014 15:33,86,6/8/2014,15:33:00
6390,6390,106,6/8/2014 16:03,103,6/8/2014,16:03:00
6420,6420,106,6/8/2014 16:33,55,6/8/2014,16:33:00
6450,6450,106,6/8/2014 17:03,71,6/8/2014,17:03:00
6480,6480,106,6/8/2014 17:33,137,6/8/2014,17:33:00
6510,6510,106,6/8/2014 18:03,111,6/8/2014,18:03:00
6540,6540,106,6/8/2014 18:33,48,6/8/2014,18:33:00
6570,6570,106,6/8/2014 19:03,86,6/8/2014,19:03:00
6600,6600,106,6/8/2014 19:33,115,6/8/2014,19:33:00
6630,6630,106,6/8/2014 20:03,40,6/8/2014,20:03:00
6660,6660,106,6/8/2014 20:33,74,6/8/2014,20:33:00
6690,6690,106,6/8/2014 21:03,60,6/8/2014,21:03:00
6720,6720,106,6/8/2014 21:33,48,6/8/2014,21:33:00
6750,6750,106,6/8/2014 22:03,49,6/8/2014,22:03:00
6780,6780,106,6/8/2014 22:33,144,6/8/2014,22:33:00
7110,7110,111,6/8/2014 8:20,52,6/8/2014,8:20:00
7140,7140,111,6/8/2014 8:56,57,6/8/2014,8:56:00
7170,7170,111,6/8/2014 9:29,43,6/8/2014,9:29:00
7200,7200,111,6/8/2014 9:59,29,6/8/2014,9:59:00
6930,6930,111,6/8/2014 10:15,55,6/8/2014,10:15:00
6960,6960,111,6/8/2014 10:47,2,6/8/2014,10:47:00
6990,6990,111,6/8/2014 11:17,68,6/8/2014,11:17:00
7020,7020,111,6/8/2014 11:47,28,6/8/2014,11:47:00
7050,7050,111,6/8/2014 12:25,17,6/8/2014,12:25:00
7080,7080,111,6/8/2014 13:07,118,6/8/2014,13:07:00
7860,7860,123,6/8/2014 8:09,80,6/8/2014,8:09:00
7890,7890,123,6/8/2014 8:39,83,6/8/2014,8:39:00
7920,7920,123,6/8/2014 9:09,137,6/8/2014,9:09:00
7950,7950,123,6/8/2014 9:39,114,6/8/2014,9:39:00
7230,7230,123,6/8/2014 10:29,107,6/8/2014,10:29:00
7260,7260,123,6/8/2014 10:59,62,6/8/2014,10:59:00
7290,7290,123,6/8/2014 11:29,81,6/8/2014,11:29:00
7320,7320,123,6/8/2014 11:59,100,6/8/2014,11:59:00
7350,7350,123,6/8/2014 12:29,136,6/8/2014,12:29:00
7380,7380,123,6/8/2014 12:59,108,6/8/2014,12:59:00
7410,7410,123,6/8/2014 13:29,78,6/8/2014,13:29:00
7440,7440,123,6/8/2014 13:59,89,6/8/2014,13:59:00
7470,7470,123,6/8/2014 14:29,43,6/8/2014,14:29:00
7500,7500,123,6/8/2014 14:59,100,6/8/2014,14:59:00
7530,7530,123,6/8/2014 15:29,58,6/8/2014,15:29:00
7560,7560,123,6/8/2014 15:59,99,6/8/2014,15:59:00
7590,7590,123,6/8/2014 16:29,132,6/8/2014,16:29:00
7620,7620,123,6/8/2014 16:59,101,6/8/2014,16:59:00
7650,7650,123,6/8/2014 17:29,77,6/8/2014,17:29:00
7680,7680,123,6/8/2014 17:59,108,6/8/2014,17:59:00
7710,7710,123,6/8/2014 18:29,44,6/8/2014,18:29:00
7740,7740,123,6/8/2014 18:59,111,6/8/2014,18:59:00
7770,7770,123,6/8/2014 19:29,79,6/8/2014,19:29:00
7800,7800,123,6/8/2014 19:59,143,6/8/2014,19:59:00
7830,7830,123,6/8/2014 20:29,147,6/8/2014,20:29:00
8730,8730,133,6/8/2014 8:11,206,6/8/2014,8:11:00
8760,8760,133,6/8/2014 8:41,98,6/8/2014,8:41:00
8790,8790,133,6/8/2014 9:11,82,6/8/2014,9:11:00
8820,8820,133,6/8/2014 9:41,101,6/8/2014,9:41:00
7980,7980,133,6/8/2014 10:09,48,6/8/2014,10:09:00
8010,8010,133,6/8/2014 10:39,39,6/8/2014,10:39:00
8040,8040,133,6/8/2014 11:09,94,6/8/2014,11:09:00
8070,8070,133,6/8/2014 11:39,168,6/8/2014,11:39:00
8100,8100,133,6/8/2014 12:09,203,6/8/2014,12:09:00
8130,8130,133,6/8/2014 12:39,44,6/8/2014,12:39:00
8160,8160,133,6/8/2014 13:09,136,6/8/2014,13:09:00
8190,8190,133,6/8/2014 13:39,154,6/8/2014,13:39:00
8220,8220,133,6/8/2014 14:09,81,6/8/2014,14:09:00
8250,8250,133,6/8/2014 14:39,94,6/8/2014,14:39:00
8280,8280,133,6/8/2014 15:09,75,6/8/2014,15:09:00
8310,8310,133,6/8/2014 15:39,28,6/8/2014,15:39:00
8340,8340,133,6/8/2014 16:09,142,6/8/2014,16:09:00
8370,8370,133,6/8/2014 16:39,66,6/8/2014,16:39:00
8400,8400,133,6/8/2014 17:09,53,6/8/2014,17:09:00
8430,8430,133,6/8/2014 17:39,95,6/8/2014,17:39:00
8460,8460,133,6/8/2014 18:09,58,6/8/2014,18:09:00
8490,8490,133,6/8/2014 18:39,40,6/8/2014,18:39:00
8520,8520,133,6/8/2014 19:09,212,6/8/2014,19:09:00
8550,8550,133,6/8/2014 19:39,95,6/8/2014,19:39:00
8580,8580,133,6/8/2014 20:09,38,6/8/2014,20:09:00
8610,8610,133,6/8/2014 20:39,62,6/8/2014,20:39:00
8640,8640,133,6/8/2014 21:09,134,6/8/2014,21:09:00
8670,8670,133,6/8/2014 21:39,68,6/8/2014,21:39:00
8700,8700,133,6/8/2014 22:09,168,6/8/2014,22:09:00
9570,9570,137,6/8/2014 8:19,31,6/8/2014,8:19:00
9600,9600,137,6/8/2014 8:49,57,6/8/2014,8:49:00
9630,9630,137,6/8/2014 9:19,150,6/8/2014,9:19:00
9660,9660,137,6/8/2014 9:52,55,6/8/2014,9:52:00
8850,8850,137,6/8/2014 10:11,103,6/8/2014,10:11:00
8880,8880,137,6/8/2014 10:41,65,6/8/2014,10:41:00
8910,8910,137,6/8/2014 11:11,36,6/8/2014,11:11:00
8940,8940,137,6/8/2014 11:42,65,6/8/2014,11:42:00
8970,8970,137,6/8/2014 12:12,166,6/8/2014,12:12:00
9000,9000,137,6/8/2014 12:42,71,6/8/2014,12:42:00
9030,9030,137,6/8/2014 13:18,48,6/8/2014,13:18:00
9060,9060,137,6/8/2014 13:48,62,6/8/2014,13:48:00
9090,9090,137,6/8/2014 14:21,74,6/8/2014,14:21:00
9120,9120,137,6/8/2014 14:51,151,6/8/2014,14:51:00
9150,9150,137,6/8/2014 15:23,5,6/8/2014,15:23:00
9180,9180,137,6/8/2014 15:55,45,6/8/2014,15:55:00
9210,9210,137,6/8/2014 16:28,89,6/8/2014,16:28:00
9240,9240,137,6/8/2014 17:03,59,6/8/2014,17:03:00
9270,9270,137,6/8/2014 17:33,46,6/8/2014,17:33:00
9300,9300,137,6/8/2014 18:04,73,6/8/2014,18:04:00
9330,9330,137,6/8/2014 18:35,18,6/8/2014,18:35:00
9360,9360,137,6/8/2014 19:05,99,6/8/2014,19:05:00
9390,9390,137,6/8/2014 19:35,44,6/8/2014,19:35:00
9420,9420,137,6/8/2014 20:10,48,6/8/2014,20:10:00
9450,9450,137,6/8/2014 20:40,36,6/8/2014,20:40:00
9480,9480,137,6/8/2014 21:14,52,6/8/2014,21:14:00
9510,9510,137,6/8/2014 21:44,156,6/8/2014,21:44:00
9540,9540,137,6/8/2014 22:14,77,6/8/2014,22:14:00
10380,10380,145,6/8/2014 8:18,59,6/8/2014,8:18:00
10410,10410,145,6/8/2014 8:48,25,6/8/2014,8:48:00
10440,10440,145,6/8/2014 9:18,33,6/8/2014,9:18:00
10470,10470,145,6/8/2014 9:48,34,6/8/2014,9:48:00
9690,9690,145,6/8/2014 10:22,31,6/8/2014,10:22:00
9720,9720,145,6/8/2014 10:52,60,6/8/2014,10:52:00
9750,9750,145,6/8/2014 11:22,36,6/8/2014,11:22:00
9780,9780,145,6/8/2014 11:52,2,6/8/2014,11:52:00
9810,9810,145,6/8/2014 12:23,35,6/8/2014,12:23:00
9840,9840,145,6/8/2014 12:53,15,6/8/2014,12:53:00
9870,9870,145,6/8/2014 13:23,26,6/8/2014,13:23:00
9900,9900,145,6/8/2014 13:53,66,6/8/2014,13:53:00
9930,9930,145,6/8/2014 14:23,86,6/8/2014,14:23:00
9960,9960,145,6/8/2014 14:53,64,6/8/2014,14:53:00
9990,9990,145,6/8/2014 15:23,60,6/8/2014,15:23:00
10020,10020,145,6/8/2014 15:53,36,6/8/2014,15:53:00
10050,10050,145,6/8/2014 16:25,20,6/8/2014,16:25:00
10080,10080,145,6/8/2014 16:55,39,6/8/2014,16:55:00
10110,10110,145,6/8/2014 17:27,6,6/8/2014,17:27:00
10140,10140,145,6/8/2014 17:58,30,6/8/2014,17:58:00
10170,10170,145,6/8/2014 18:28,65,6/8/2014,18:28:00
10200,10200,145,6/8/2014 18:58,11,6/8/2014,18:58:00
10230,10230,145,6/8/2014 19:29,26,6/8/2014,19:29:00
10260,10260,145,6/8/2014 20:04,8,6/8/2014,20:04:00
10290,10290,145,6/8/2014 20:36,19,6/8/2014,20:36:00
10320,10320,145,6/8/2014 21:06,13,6/8/2014,21:06:00
10350,10350,145,6/8/2014 21:37,150,6/8/2014,21:37:00
11220,11220,146,6/8/2014 8:07,15,6/8/2014,8:07:00
11250,11250,146,6/8/2014 8:37,95,6/8/2014,8:37:00
11280,11280,146,6/8/2014 9:07,10,6/8/2014,9:07:00
11310,11310,146,6/8/2014 9:38,112,6/8/2014,9:38:00
10500,10500,146,6/8/2014 10:18,21,6/8/2014,10:18:00
10530,10530,146,6/8/2014 10:48,156,6/8/2014,10:48:00
10560,10560,146,6/8/2014 11:18,97,6/8/2014,11:18:00
10590,10590,146,6/8/2014 11:48,102,6/8/2014,11:48:00
10620,10620,146,6/8/2014 12:18,113,6/8/2014,12:18:00
10650,10650,146,6/8/2014 12:48,73,6/8/2014,12:48:00
10680,10680,146,6/8/2014 13:18,81,6/8/2014,13:18:00
10710,10710,146,6/8/2014 13:48,83,6/8/2014,13:48:00
10740,10740,146,6/8/2014 14:18,83,6/8/2014,14:18:00
10770,10770,146,6/8/2014 14:51,224,6/8/2014,14:51:00
10800,10800,146,6/8/2014 15:22,98,6/8/2014,15:22:00
10830,10830,146,6/8/2014 15:52,65,6/8/2014,15:52:00
10860,10860,146,6/8/2014 16:22,117,6/8/2014,16:22:00
10890,10890,146,6/8/2014 17:04,43,6/8/2014,17:04:00
10920,10920,146,6/8/2014 17:34,97,6/8/2014,17:34:00
10950,10950,146,6/8/2014 18:17,30,6/8/2014,18:17:00
10980,10980,146,6/8/2014 18:49,86,6/8/2014,18:49:00
11010,11010,146,6/8/2014 19:19,22,6/8/2014,19:19:00
11040,11040,146,6/8/2014 19:52,35,6/8/2014,19:52:00
11070,11070,146,6/8/2014 20:22,43,6/8/2014,20:22:00
11100,11100,146,6/8/2014 20:52,175,6/8/2014,20:52:00
11130,11130,146,6/8/2014 21:22,182,6/8/2014,21:22:00
11160,11160,146,6/8/2014 21:52,127,6/8/2014,21:52:00
11190,11190,146,6/8/2014 22:22,267,6/8/2014,22:22:00
